<--------------------,Recruitment info in previous tab,,,,,,,,,"If not listed, character gains",,,,,"Base stats were all calculated. If anything looks odd, please contact me!",,,,,,,,,,,,Remember that you need to add class growths!,,,,I tested Alear and Dragon Child growths:,,,https://twitter.com/Aveyn_Knight/status/1616091790746222592,,,,,,,,,,,,,,,,Seems odd?,,,,,,,,,,,
,Sorry about any messed up symbolsÃ©,,,,,,,,,Proficiency from their initial class,,,,Internal,Enemy stats are for Normal mode (keep scrolling ------------------------------------> for Hard mode stats),,,,,,,,,,,,,,,,,,"Also Sight and Movement growth, but all 0",,,,,,,,,,,,,,,,,,,Hard mode stats,,,,,,,,,
Elyosian Sheep,Farmyard,PID_エレオスモフヤギ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,1,0,0,0,0,0,0,0,0,1
White Hop Rabbit,,PID_シロピョンウサギ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"Long-eared rabbits that can be found hopping enthusiastically all over Elyos. Surprisingly, not all are white.",1,0,0,0,0,0,0,0,0,1
Hop Rabbit,,PID_ピョンウサギ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,Long-eared rabbits that can be found hopping enthusiastically all over Elyos. Some varieties have white fur.,1,0,0,0,0,0,0,0,0,1
Eastern Freecat,,PID_ヒガシニャッコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,This breed originated in eastern Elyos. Its appearance and behavior have adapted to its surroundings.,1,0,0,0,0,0,0,0,0,1
Western Freecat,,PID_ニシニャッコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,This breed originated in western Elyos. Its appearance and behavior have adapted to its surroundings.,1,0,0,0,0,0,0,0,0,1
Southern Freecat,,PID_ミナミニャッコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,This breed originated in southern Elyos. Its appearance and behavior have adapted to its surroundings.,1,0,0,0,0,0,0,0,0,1
Northern Freecat,,PID_キタニャッコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,This breed originated in northern Elyos. Its appearance and behavior have adapted to its surroundings.,1,0,0,0,0,0,0,0,0,1
Firenese Cat,,PID_フィレネニャーコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A cat found only in Firene. This region is known for cats with black- and-white coats.,1,0,0,0,0,0,0,0,0,1
Brodian Cat,,PID_ブロディアネコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A cat found only in Brodia. This region is known for cats with a mix of black and brown fur.,1,0,0,0,0,0,0,0,0,1
Elusian Cat,,PID_イルシオンニャコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A cat found only in Elusia. This region is known for cats with black markings.,1,0,0,0,0,0,0,0,0,1
Solmic Cat,,PID_ソルムニャンコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A cat found only in Solm. This region is known for cats with a leopard-like coat.,1,0,0,0,0,0,0,0,0,1
Calisson Chicken,,PID_カリソンコッコ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"A chicken found mainly in Firene. Despite their round shape, they can fly and sometimes carry messages.",1,0,0,0,0,0,0,0,0,1
Aura Eagle,,PID_アオライーグルン,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,An eagle found mainly in Brodia. Their mastery of air currents makes them adept at long-distance flight.,1,0,0,0,0,0,0,0,0,1
Iris Owl,,PID_アイリスフクロー,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"An owl found mainly in Elusia. They are strong and swift fliers, kept warm by their large feathers.",1,0,0,0,0,0,0,0,0,1
Panna Camel,,PID_パンナコブラクダ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A camel found mainly in Solm. Most Solmic households have at least one for transportation and carrying cargo.,1,0,0,0,0,0,0,0,0,1
Elyosian Pigeon,,PID_エレオスハットー,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"A wild bird found in all regions of Elyos. At times they appear in large flocks, causing a spectacle.",1,0,0,0,0,0,0,0,0,1
Elyosian Seagull,,PID_エレオスカモメン,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A wild bird that inhabits coastlines all over Elyos. They constantly try to sneak fish from the day's catch.,1,0,0,0,0,0,0,0,0,1
Elyosian Dog,,PID_エレオスケン,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"A dog found in all regions of Elyos. These friendly, intelligent animals are often kept indoors as pets.",1,0,0,0,0,0,0,0,0,1
Black Elyosian Dog,,PID_クロエレオスケン,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"A dog found in all regions of Elyos. Known for their black coats, they are friendly and easily trained.",1,0,0,0,0,0,0,0,0,1
White Elyosian Dog,,PID_シロエレオスケン,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"A dog found in all regions of Elyos. Known for their white coats, they are friendly and easily trained.",1,0,0,0,0,0,0,0,0,1
MÃ¨re Donkey,,PID_メイルロバ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A rare animal found only in Firene. They prefer clean water and fresh produce. Legend says they are lucky.,1,0,0,0,0,0,0,0,0,1
Rutile Marmot,,PID_ルチルマーモット,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"A rare animal found only in Brodia. Considered a local guardian, they like uninhabited areas such as cliff tops.",1,0,0,0,0,0,0,0,0,1
Vervain Deer,,PID_リザーズトナカイ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,"A rare animal found only in Elusia. Often found deep in the forest, their shed antlers make a wondrous cure.",1,0,0,0,0,0,0,0,0,1
Tartu Flamingo,,PID_ババロフラミンゴ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A rare animal found only in Solm. Royalty use these oasis-dwelling birds to send special messages.,1,0,0,0,0,0,0,0,0,1
#N/A,Horse,PID_ウマ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,1,0,0,0,0,0,0,0,0,1
#N/A,White Horse,PID_シロウマ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,1,0,0,0,0,0,0,0,0,1
#N/A,Wolf,PID_オオカミ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,1,0,0,0,0,0,0,0,0,1
#N/A,Alpaca,PID_アルパカ,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,1,0,0,0,0,0,0,0,0,1
Corrupted,Demo,PID_デモ用_異形兵_ランスファイター1,Lance Fighter,---,Male,---,---,,Default,---,---,,1,0,23,7,2,8,6,4,2,2,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,23,7,2,8,6,4,2,2,5,4
Corrupted,,PID_デモ用_異形兵_ランスファイター2,Lance Fighter,---,Male,---,---,,Default,---,---,,1,0,23,7,2,8,6,4,2,2,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,23,7,2,8,6,4,2,2,5,4
Corrupted,,PID_デモ用_異形兵_ランスファイター3,Lance Fighter,---,Male,---,---,,Default,---,---,,1,0,23,7,2,8,6,4,2,2,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,23,7,2,8,6,4,2,2,5,4
Corrupted,,PID_デモ用_異形兵_マージ1,Mage,---,Female,---,---,,Default,---,---,,1,0,18,1,7,6,6,1,7,2,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,18,1,7,6,6,1,7,2,4,4
Corrupted,,PID_デモ用_異形兵_マージ2,Mage,---,Female,---,---,,Default,---,---,,1,0,18,1,7,6,6,1,7,2,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,18,1,7,6,6,1,7,2,4,4
Corrupted,,PID_デモ用_異形兵_マージ3,Mage,---,Female,---,---,,Default,---,---,,1,0,18,1,7,6,6,1,7,2,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,18,1,7,6,6,1,7,2,4,4
Corrupted,,PID_デモ用_異形兵_マージ4,Mage,---,Female,---,---,,Default,---,---,,1,0,18,1,7,6,6,1,7,2,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,18,1,7,6,6,1,7,2,4,4
---,,PID_デモ用_視線設定用,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,1,0,0,0,0,0,0,0,0,1
---,,PID_デモ用_視線設定用2,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,1,0,0,0,0,0,0,0,0,1
---,,PID_デモ用_視線設定用3,#N/A,---,???,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,1,0,0,0,0,0,0,0,0,1
Elusian Soldier,,PID_デモ用_イルシオン兵_ランスアーマー1,Lance Armor,---,Male,---,---,,Default,---,---,,1,0,25,8,0,6,1,12,0,2,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,An ordinary soldier in the Elusian army.,25,8,0,6,1,12,0,2,7,4
Elusian Soldier,,PID_デモ用_イルシオン兵_ランスアーマー2,Lance Armor,---,Male,---,---,,Default,---,---,,1,0,25,8,0,6,1,12,0,2,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,An ordinary soldier in the Elusian army.,25,8,0,6,1,12,0,2,7,4
Elusian Soldier,,PID_デモ用_イルシオン兵_ランスアーマー3,Lance Armor,---,Male,---,---,,Default,---,---,,1,0,25,8,0,6,1,12,0,2,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,An ordinary soldier in the Elusian army.,25,8,0,6,1,12,0,2,7,4
Elusian Soldier,,PID_デモ用_イルシオン兵_ランスアーマー4,Lance Armor,---,Male,---,---,,Default,---,---,,1,0,25,8,0,6,1,12,0,2,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,An ordinary soldier in the Elusian army.,25,8,0,6,1,12,0,2,7,4
Fabrication,Tips,PID_TIPS用_幻影飛竜,Phantom Wyvern,---,???,---,---,,Default,---,---,,1,0,30,2,5,4,5,8,10,3,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A soulless wyvern created by secret techniques. It has no will of its own and only follows its master's orders.,30,2,5,4,5,8,10,3,8,5
Firenese Villager,,PID_フィレネ村人_青年男1,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年男2,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年男3,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年男4,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年男5,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年男6,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年男7,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年男8,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年男9,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女1,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女2,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女3,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女4,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女5,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女6,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女7,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女8,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_青年女9,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年男1,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年男2,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年男3,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年男4,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年男5,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年男6,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年女1,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年女2,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年女3,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年女4,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年女5,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_壮年女6,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_老人男1,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_老人男2,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_老人男3,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_老人男4,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_老人男5,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_フィレネ村人_老人男6,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Solmic Villager,,PID_ソルム村人_青年男1,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Queendom of Solm.,18,1,0,6,5,2,2,3,4,4
Solmic Villager,,PID_ソルム村人_青年男2,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Queendom of Solm.,18,1,0,6,5,2,2,3,4,4
Solmic Villager,,PID_ソルム村人_青年男3,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Queendom of Solm.,18,1,0,6,5,2,2,3,4,4
Solmic Villager,,PID_ソルム村人_青年男4,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Queendom of Solm.,18,1,0,6,5,2,2,3,4,4
Solmic Villager,,PID_ソルム村人_青年男5,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Queendom of Solm.,18,1,0,6,5,2,2,3,4,4
